Name,Scientific Name,Class,Family,Lifespan (years),Top Speed (km/h),Weight (kg),Length (cm),Diet,Population Trend,Population Status,Mating Behavior,Arid Climate,Cold Climate,Polar Climate,Temperate Climate,Tropical Climate,Africa,Antarctica,Asia,Europe,North America,Oceania,South America
Monocled Cobra,Naja kaouthia,Reptilia,Elapidae,16.5,22.147727272727273,28.274673913043493,100.0,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0
Montagu's Harrier,Circus pygargus,Aves,Accipitridae,16.0,65.0,0.305,45.0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0
Moose,Alces alces,Mammalia,Cervidae,20.0,32.0,495.0,250.0,2,2,1,1,0,1,0,1,0,0,0,1,1,1,0,0
Morelet's Crocodile,Crocodylus moreletii,Reptilia,Crocodylidae,65.0,24.5,48.0,150.0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0
Morepork,Ninox novaeseelandiae,Aves,Strigidae,8.0,66.8076923076923,0.17800000000000002,27.5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Mouflon,Ovis orientalis ,Mammalia,Bovidae,10.0,41.829850746268654,90.0,127.5,2,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0
Mountain Anoa,Bubalus quarlesi,Mammalia,Bovidae,25.0,41.829850746268654,225.0,137.5,2,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0
Mountain Beaver,Aplodontia rufa,Mammalia,Aplodontiidae,8.0,41.829850746268654,0.7,40.0,2,2,1,2,0,1,0,1,0,0,0,0,0,1,0,0
Mountain Bluebird,Sialia currucoides,Aves,Turdidae,7.5,66.8076923076923,0.03,17.5,0,3,1,0,1,1,1,1,0,0,0,0,0,1,0,0
Mountain Gazelle,Gazella gazella,Mammalia,Bovidae,11.5,80.0,23.0,114.29540507859738,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0
Mountain Goat,Oreamnos americanus,Mammalia,Bovidae,16.0,41.829850746268654,92.5,149.5,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Mountain Hare,Lepus timidus,Mammalia,Leporidae,12.0,41.829850746268654,3.5,55.0,2,2,1,2,0,1,1,1,0,0,0,1,1,0,0,0
Mountain Plover,Charadrius montanus,Aves,Charadriidae,10.0,66.8076923076923,0.105,22.0,1,1,1,2,0,0,0,1,1,0,0,0,0,1,0,0
Mountain Pygmy Possum,Burramys parvus,Mammalia,Burramyidae,5.5,41.829850746268654,0.045,11.5,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0
Mountain Quail,Oreortyx pictus,Aves,Odontophoridae,2.5,64.0,0.226,27.0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Mountain Reedbuck,Redunca fulvorufula,Mammalia,Bovidae,14.0,41.829850746268654,31.0,118.0,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0
Mountain Tapir,Tapirus pinchaque,Mammalia,Tapiridae,28.0,48.0,198.0,100.0,2,1,2,2,0,0,0,1,1,0,0,0,0,0,0,1
Mountain Zebra,Equus zebra,Mammalia,Equidae,25.0,64.0,288.0,200.0,2,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0
Mourning Dove,Zenaida macroura,Aves,Columbidae,10.0,88.0,0.133,29.0,2,3,1,0,0,1,0,1,1,0,0,0,1,1,0,1
Moustached Tamarin,Saguinus mystax,Mammalia,Callitrichidae,20.0,41.829850746268654,0.511,61.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
Mud Snake,Farancia abacura,Reptilia,Colubridae,19.0,22.147727272727273,28.274673913043493,100.0,1,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Mugger,Crocodylus palustris,Reptilia,Crocodylidae,30.0,19.0,450.0,450.0,1,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0
Mule Deer,Odocoileus hemionus,Mammalia,Cervidae,15.5,72.0,96.5,150.0,0,2,1,1,1,1,0,1,0,0,0,0,0,1,0,1
Mulga Snake,Pseudechis australis,Reptilia,Elapidae,25.0,22.147727272727273,4.5,200.0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0
